EntryName,Status,Week_1,Week_2,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
BCope-3,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
BD1-642-1,Alive,JAC,KC,80.7,11.7,70.5,78.2,33.8,76.7,2,Planner,Planner (81) / Sprinter (78) / Tourist (77) / EV Hunter (70),Medium
bd4kiid-1,Alive,NYJ,CAR,70.8,22.5,44.4,41.2,36.5,30.0,2,Planner,Planner (71),Medium
BDD-645-1,Alive,JAC,SF,78.6,2.0,90.6,100.0,25.5,9.2,2,Sprinter,Sprinter (100) / EV Hunter (91),Medium
BDes-965-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
BDMAC6514-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
bdubskrt-1,Eliminated,PIT,TB,52.3,3.5,94.5,92.9,52.9,64.8,2,EV Hunter,EV Hunter (94) / Sprinter (93),Medium
BDUNGY22-1,Eliminated,PIT,LAC,62.2,6.8,96.1,93.7,42.1,15.1,2,EV Hunter,EV Hunter (96) / Sprinter (94),Medium
bdutcher-1,Alive,PIT,SF,75.2,5.1,96.9,95.3,27.8,60.4,2,EV Hunter,EV Hunter (97) / Sprinter (95),Medium
beadyn-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
beadyn-3,Alive,DET,GB,69.8,24.4,72.6,70.3,13.8,73.4,2,Tourist,Tourist (73) / EV Hunter (73) / Sprinter (70) / Planner (70),Medium
bear36-1,Eliminated,PIT,TB,52.3,3.5,94.5,92.9,52.9,64.8,2,EV Hunter,EV Hunter (94) / Sprinter (93),Medium
beard74-1,Eliminated,PHI,LAC,77.6,11.4,94.5,92.1,28.1,13.8,2,EV Hunter,EV Hunter (94) / Sprinter (92),Medium
beard74-3,Alive,PIT,SF,75.2,5.1,96.9,95.3,27.8,60.4,2,EV Hunter,EV Hunter (97) / Sprinter (95),Medium
beard74-4,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
beard74-5,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
Beardad13-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
BEARDENK2-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
BearDown36-1,Alive,JAC,SF,78.6,2.0,90.6,100.0,25.5,9.2,2,Sprinter,Sprinter (100) / EV Hunter (91),Medium
BearDown36-3,Eliminated,DET,TB,63.3,6.7,96.0,94.5,41.3,61.9,2,EV Hunter,EV Hunter (96) / Sprinter (94),Medium
BearDown36-4,Eliminated,PIT,BAL,76.7,10.0,93.6,92.1,23.7,62.2,2,EV Hunter,EV Hunter (94) / Sprinter (92),Medium
BearDown36-5,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
bearfan23-1,Alive,JAC,SF,78.6,2.0,90.6,100.0,25.5,9.2,2,Sprinter,Sprinter (100) / EV Hunter (91),Medium
bearfan23-2,Alive,PHI,SF,89.1,9.8,95.3,93.8,15.4,59.4,2,EV Hunter,EV Hunter (95) / Sprinter (94) / Planner (89),Medium
bearfan23-4,Alive,MIN,SF,87.6,19.2,78.1,79.7,11.9,69.6,2,Planner,Planner (88) / Sprinter (80) / EV Hunter (78),Medium
bearfan23-5,Alive,MIN,PHI,87.8,22.4,71.7,70.8,16.7,75.9,2,Planner,Planner (88) / Tourist (76),Medium
bearfan23-6,Alive,MIN,PHI,87.8,22.4,71.7,70.8,16.7,75.9,2,Planner,Planner (88) / Tourist (76),Medium
bearfan23-7,Alive,PHI,SF,89.1,9.8,95.3,93.8,15.4,59.4,2,EV Hunter,EV Hunter (95) / Sprinter (94) / Planner (89),Medium
bearfan23-8,Eliminated,DET,TB,63.3,6.7,96.0,94.5,41.3,61.9,2,EV Hunter,EV Hunter (96) / Sprinter (94),Medium
bearfan23-9,Alive,DET,PHI,85.7,11.5,92.8,88.8,21.2,13.4,2,EV Hunter,EV Hunter (93) / Sprinter (89) / Planner (86),Medium
bearfan23-10,Eliminated,DET,CHI,72.3,22.8,86.3,85.2,35.5,70.7,2,EV Hunter,EV Hunter (86) / Sprinter (85) / Planner (72),Medium
BearJoseph-1,Alive,DET,SF,86.2,8.3,98.4,96.9,16.2,57.5,2,EV Hunter,EV Hunter (98) / Sprinter (97) / Planner (86),Medium
BearJoseph-2,Eliminated,LV,TB,45.2,5.1,82.7,86.6,62.8,15.6,2,Sprinter,Sprinter (87) / EV Hunter (83),Medium
BearJoseph-3,Eliminated,JAC,BAL,79.8,6.9,86.6,97.6,21.5,61.0,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
Bearsgolf17-1,Eliminated,PIT,TB,52.3,3.5,94.5,92.9,52.9,64.8,2,EV Hunter,EV Hunter (94) / Sprinter (93),Medium
bearsupnext-1,Alive,JAC,SF,78.6,2.0,90.6,100.0,25.5,9.2,2,Sprinter,Sprinter (100) / EV Hunter (91),Medium
BEARWILHELM-1,Eliminated,BAL,TB,69.0,19.2,79.6,80.4,37.7,72.7,2,Sprinter,Sprinter (80) / EV Hunter (80) / Tourist (73) / Planner (69),Medium
BEARWILHELM-2,Alive,PHI,SF,89.1,9.8,95.3,93.8,15.4,59.4,2,EV Hunter,EV Hunter (95) / Sprinter (94) / Planner (89),Medium
Beastdome-1,Alive,PIT,SF,75.2,5.1,96.9,95.3,27.8,60.4,2,EV Hunter,EV Hunter (97) / Sprinter (95),Medium
BEASTLORDBEAST-4,Alive,JAC,SF,78.6,2.0,90.6,100.0,25.5,9.2,2,Sprinter,Sprinter (100) / EV Hunter (91),Medium
Beatpalmers-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
Beatpalmers-2,Alive,PIT,SF,75.2,5.1,96.9,95.3,27.8,60.4,2,EV Hunter,EV Hunter (97) / Sprinter (95),Medium
Beatpalmers-3,Alive,PIT,SF,75.2,5.1,96.9,95.3,27.8,60.4,2,EV Hunter,EV Hunter (97) / Sprinter (95),Medium
Beatpalmers-4,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
beauhawk-2,Alive,JAC,SF,78.6,2.0,90.6,100.0,25.5,9.2,2,Sprinter,Sprinter (100) / EV Hunter (91),Medium
BEAUTURNER-1,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
beds05-1,Alive,JAC,SF,78.6,2.0,90.6,100.0,25.5,9.2,2,Sprinter,Sprinter (100) / EV Hunter (91),Medium
beds05-2,Eliminated,PHI,TB,66.6,8.2,92.1,91.3,40.5,64.1,2,EV Hunter,EV Hunter (92) / Sprinter (91),Medium
bee09-1,Alive,PIT,SF,75.2,5.1,96.9,95.3,27.8,60.4,2,EV Hunter,EV Hunter (97) / Sprinter (95),Medium
bee09-2,Eliminated,JAC,CHI,65.0,16.5,77.7,88.3,44.9,22.6,2,Sprinter,Sprinter (88) / EV Hunter (78),Medium
bee09-3,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
bee5-1,Alive,DET,PHI,85.7,11.5,92.8,88.8,21.2,13.4,2,EV Hunter,EV Hunter (93) / Sprinter (89) / Planner (86),Medium
bee5-2,Eliminated,JAC,TB,55.7,0.4,87.4,98.4,51.1,13.7,2,Sprinter,Sprinter (98) / EV Hunter (87),Medium
beeenjammin-1,Alive,LV,CAR,64.1,13.2,55.3,56.8,46.3,73.4,2,Tourist,Tourist (73) / Planner (64),Medium
beeerad25-1,Alive,JAC,PHI,78.4,5.2,84.2,91.9,30.9,65.5,2,Sprinter,Sprinter (92) / EV Hunter (84) / Planner (78),Medium
beeerad25-3,Alive,PHI,SF,89.1,9.8,95.3,93.8,15.4,59.4,2,EV Hunter,EV Hunter (95) / Sprinter (94) / Planner (89),Medium
beeerad25-4,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
beeerad25-5,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
beeerad25-6,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
beeerad25-7,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
beeerad25-8,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
beeerad25-9,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
beeerad25-10,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
beeerad25-11,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
beeerad25-12,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
beeerad25-13,Eliminated,JAC,LAC,66.4,3.6,89.8,99.2,38.9,13.5,2,Sprinter,Sprinter (99) / EV Hunter (90),Medium
beeerad25-14,Alive,DET,DEN,85.7,29.2,75.1,76.3,22.2,77.0,2,Planner,Planner (86) / Tourist (77) / Sprinter (76) / EV Hunter (75),Medium
beeerad25-15,Alive,DET,DEN,85.7,29.2,75.1,76.3,22.2,77.0,2,Planner,Planner (86) / Tourist (77) / Sprinter (76) / EV Hunter (75),Medium
beeerad25-16,Alive,DET,DEN,85.7,29.2,75.1,76.3,22.2,77.0,2,Planner,Planner (86) / Tourist (77) / Sprinter (76) / EV Hunter (75),Medium
