EntryName,Status,Week_1,Week_2
abbq-37,Eliminated,DET,BAL
abbq-38,Alive,DET,PHI
abbq-39,Alive,DET,PHI
abbq-40,Alive,DET,LA
abbq-41,Eliminated,DET,BAL
abbq-50,Eliminated,JAC,BAL
abbq-51,Alive,JAC,LA
abbq-52,Eliminated,JAC,LAC
abbq-53,Eliminated,JAC,BAL
abbq-54,Eliminated,JAC,BAL
abbq-55,Eliminated,JAC,BAL
abbq-56,Alive,JAC,SF
abbq-57,Eliminated,JAC,LAC
abbq-58,Alive,JAC,KC
abbq-59,Alive,JAC,KC
abbq-60,Alive,JAC,KC
abbq-61,Alive,JAC,NE
abbq-62,Alive,JAC,LA
abbq-63,Eliminated,JAC,BAL
abbq-64,Eliminated,JAC,BAL
abbq-65,Eliminated,JAC,LAC
abbq-66,Eliminated,JAC,CHI
abbq-67,Alive,KC,PHI
abbq-68,Alive,KC,LA
abbq-69,Alive,KC,PHI
abbq-70,Alive,KC,PHI
abbq-71,Alive,KC,LA
abbq-91,Alive,LV,SF
abbq-92,Alive,LV,PHI
abbq-93,Alive,LV,CAR
abbq-94,Alive,LV,LA
abbq-95,Alive,LV,LA
abbq-96,Eliminated,LV,CHI
abbq-97,Alive,LV,SF
abbq-98,Eliminated,LV,BAL
abbq-99,Alive,LV,SF
abbq-100,Alive,LV,SF
abbq-101,Alive,LV,SF
abbq-102,Alive,LV,LA
abbq-103,Alive,LV,DAL
abbq-104,Eliminated,LV,TB
abbq-105,Alive,LV,PHI
abbq-106,Alive,LV,SF
abbq-107,Eliminated,LV,BAL
abbq-108,Eliminated,LV,TB
abbq-109,Eliminated,LV,BAL
abbq-110,Alive,MIN,PHI
abbq-111,Alive,MIN,SF
abbq-112,Eliminated,MIN,BAL
abbq-113,Eliminated,MIN,LAC
abbq-114,Eliminated,MIN,LAC
abbq-115,Eliminated,PHI,BAL
abbq-116,Alive,PHI,SF
abbq-117,Alive,PHI,SF
abbq-118,Alive,PHI,DAL
abbq-119,Alive,PHI,CAR
abbq-120,Alive,PHI,KC
abbq-121,Alive,PHI,NE
abbq-122,Alive,PHI,CAR
abbq-123,Eliminated,PHI,BAL
abbq-124,Eliminated,PHI,LAC
abbq-125,Eliminated,PHI,BAL
abbq-126,Alive,PIT,PHI
abbq-127,Alive,PIT,NE
abbq-128,Alive,PIT,PHI
abbq-129,Eliminated,PIT,BAL
abbq-130,Alive,PIT,PHI
abbq-131,Alive,PIT,PHI
abbq-132,Alive,PIT,PHI
abbq-133,Eliminated,PIT,BAL
abbq-134,Eliminated,PIT,BAL
abbq-135,Eliminated,PIT,BAL
abbq-136,Alive,PIT,PHI
abbq-137,Alive,PIT,PHI
abbq-138,Alive,PIT,PHI
abbq-139,Alive,PIT,PHI
abbq-140,Eliminated,PIT,TB
abbq-141,Alive,PIT,PHI
abbq-142,Eliminated,PIT,BAL
abbq-143,Alive,PIT,PHI
abbq-144,Alive,PIT,PHI
abbq-145,Alive,PIT,SF
abbq-146,Alive,PIT,PHI
abbq-147,Alive,PIT,PHI
abbq-148,Alive,PIT,PHI
abbq-149,Alive,PIT,PHI
abbq-150,Alive,PIT,SF
abcdeeznuts-1,Eliminated,JAC,TB
abe-bryan-1,Eliminated,PIT,TB
abe_chernin-1,Eliminated,JAC,TB
abe_chernin-2,Alive,JAC,SF
abe_chernin-3,Eliminated,JAC,LAC
abe_chernin-7,Eliminated,LV,TB
abe_chernin-8,Alive,PIT,SF
abe_chernin-9,Eliminated,PIT,TB
abe_chernin-10,Eliminated,PIT,TB
ABE-FROMAN1-2,Alive,PIT,SF
abezilla585-1,Eliminated,CHI,TB
A-B-Freed-1,Eliminated,PHI,LAC
A-B-Freed-2,Eliminated,LV,TB
A-B-Freed-3,Alive,MIN,PHI
ABL54-1,Eliminated,JAC,TB
able-wrap-1790-5,Eliminated,JAC,TB
able-wrap-1790-35,Alive,JAC,PHI
absolutefact-1,Eliminated,PHI,TB
AbsoluteSauce-1,Eliminated,PIT,TB
Absyth-1,Eliminated,PIT,LAC
ABULEO-1,Eliminated,PIT,LAC
ABULEO-2,Alive,JAC,SF
ABULEO-3,Alive,NYJ,PHI
ABURI12-1,Alive,PIT,SF
ac__-1,Eliminated,PIT,TB
AC1-982-1,Eliminated,JAC,TB
acaneya-1,Alive,PIT,SF
acarroll39-1,Eliminated,JAC,TB
acarroll39-3,Eliminated,PIT,TB
acarroll39-4,Eliminated,LV,TB
ACavallaris-1,Eliminated,JAC,TB
acbknyc-2,Alive,NYJ,SF
acbknyc-3,Eliminated,LV,LAC
acbknyc-4,Eliminated,LV,LAC
acbknyc-5,Eliminated,JAC,TB
acbknyc-6,Eliminated,PIT,LAC
ACD777-2,Alive,DET,SF
ace21-1,Eliminated,LV,TB
ACENJONES-1,Alive,JAC,KC
ACENJONES-2,Alive,DET,PHI
ACENJONES-4,Alive,LV,SF
acepicks-1,Eliminated,JAC,TB
acepicks-2,Eliminated,PIT,CHI
ACGREEN-1,Eliminated,JAC,LAC
ACGREEN-3,Alive,PIT,SF
acino13-1,Alive,JAC,SF
ackles-2,Eliminated,PHI,TB
acmartinez1-1,Eliminated,PIT,TB
acmartinez1-2,Alive,JAC,SF
acmartinez1-4,Alive,JAC,SF
acmartinez1-5,Alive,JAC,SF
acmartinez1-6,Alive,JAC,SF
acmartinez1-7,Alive,JAC,SF
acmartinez1-8,Eliminated,JAC,TB
acmartinez1-9,Eliminated,PIT,TB
acmartinez1-10,Alive,PIT,SF
acmartinez1-13,Eliminated,NYJ,TB
aconn618-1,Alive,JAC,SF
action1004-1,Eliminated,JAC,TB
actionengley-1,Eliminated,JAC,TB
actionengley-2,Eliminated,PHI,LAC
actionengley-3,Alive,LV,SF
ActionFraction-1,Alive,PIT,PHI
ActionFraction-2,Eliminated,MIN,TB
ActionFraction-4,Eliminated,PIT,TB
AD49-1,Eliminated,PIT,TB
ADAM1407-1,Alive,PIT,SF
adam1682-2,Alive,LV,CAR
adam1682-3,Eliminated,CHI,LAC
adam1682-4,Alive,PIT,GB
adam1682-5,Eliminated,JAC,TB
adam1682-6,Eliminated,DET,BAL
adam1682-8,Alive,JAC,KC
adam1682-9,Eliminated,BAL,TB
adam1682-10,Alive,BUF,SF
adam1682-11,Alive,JAC,SF
adam1682-12,Alive,JAC,GB
adam1682-15,Eliminated,PIT,LAC
adam1682-16,Eliminated,PIT,BAL
adam1682-17,Alive,LV,SF
adam1682-18,Alive,LV,PHI
adam1682-19,Eliminated,PHI,TB
adam1682-21,Alive,PIT,KC
adam1682-22,Alive,PIT,PHI
adam1682-23,Eliminated,PIT,BAL
adam1682-24,Eliminated,PIT,TB
adam1682-25,Alive,PIT,PHI
adam1682-26,Eliminated,PIT,CHI
adam1682-27,Eliminated,PIT,LAC
adam1682-28,Alive,PIT,GB
adam1682-29,Alive,PIT,SF
adam1682-30,Eliminated,PIT,TB
adamalber-1,Eliminated,PIT,TB
adamb-1,Alive,LV,SF
adamb-2,Eliminated,PIT,CHI
