Team,Category,Side,Plays,Weight_Score,EPA_Adj,EPA_Pct,SR_Adj,SR_Pct,Season
PIT,3rd_Down,Defense,614.0,159.41695323346386,0.0655022998129826,37.5,0.44054047309993044,56.25,2025
SEA,3rd_Down,Defense,618.0,159.0254929834073,-0.3600515443249587,100.0,0.34614504072458663,100.0,2025
SF,3rd_Down,Defense,569.0,136.7416544867076,0.051747757320667304,46.875,0.4407737388826543,53.125,2025
TB,3rd_Down,Defense,582.0,131.20430430863317,0.11155126567716672,25.0,0.4632422657817321,31.25,2025
TEN,3rd_Down,Defense,525.0,114.11304591599678,0.16486459639160927,9.375,0.47101884563899143,25.0,2025
WAS,3rd_Down,Defense,572.0,137.37600711501307,0.16154501128865612,12.5,0.4997491139303221,9.375,2025
ARI,1st_Down,Offense,1138.0,269.12129006342394,-0.060440566293919966,21.875,0.4161162885290141,25.0,2025
ATL,1st_Down,Offense,1272.0,310.1201617639367,0.04237341929298727,71.875,0.44185893653703573,46.875,2025
BAL,1st_Down,Offense,1262.0,284.3321263534297,0.10184937162995553,93.75,0.47626203572038195,96.875,2025
BUF,1st_Down,Offense,1383.0,355.07622490101227,0.03984174252930077,68.75,0.472563613748391,90.625,2025
CAR,1st_Down,Offense,1110.0,288.9084022511347,-0.05098736314391947,28.125,0.46141602655920366,75.0,2025
CHI,1st_Down,Offense,1257.0,369.6445666090016,0.13240440405541748,100.0,0.4687582712788647,87.5,2025
CIN,1st_Down,Offense,1218.0,292.9394895861198,-0.009610230357680837,37.5,0.46727146790788116,84.375,2025
CLE,1st_Down,Offense,1159.0,267.8636000230176,-0.18911084564284913,3.125,0.34415999792242796,3.125,2025
DAL,1st_Down,Offense,1185.0,314.5089326348746,0.024422440104537667,62.5,0.4623267883689361,78.125,2025
DEN,1st_Down,Offense,1179.0,333.14151044635696,0.053002435113841846,78.125,0.45819582866462305,62.5,2025
DET,1st_Down,Offense,1322.0,311.1263051368421,0.08006239789862332,87.5,0.463653854958893,81.25,2025
GB,1st_Down,Offense,1246.0,321.0634543733032,0.0647468793091766,84.375,0.4608583695739005,68.75,2025
HOU,1st_Down,Offense,1346.0,353.44981623191745,-0.07784844681236898,12.5,0.39680909789679675,12.5,2025
IND,1st_Down,Offense,1217.0,288.8447259718501,0.020461917273200417,56.25,0.4259300136683233,28.125,2025
JAX,1st_Down,Offense,1183.0,303.7136033403761,-0.0013799924943291937,50.0,0.45910524093408916,65.625,2025
KC,1st_Down,Offense,1429.0,313.5247509799919,0.08264679269653735,90.625,0.4613103126586073,71.875,2025
LA,1st_Down,Offense,1409.0,394.82319913868486,0.12970803633002026,96.875,0.4907735576842129,100.0,2025
LAC,1st_Down,Offense,1206.0,303.7589601192605,-0.06101239029928904,18.75,0.40832180041770144,18.75,2025
LV,1st_Down,Offense,1058.0,242.40688034867736,-0.09465821258088844,9.375,0.40281753446027313,15.625,2025
MIA,1st_Down,Offense,1135.0,245.8297237359359,-0.016625691691486442,34.375,0.4436997615839194,50.0,2025
MIN,1st_Down,Offense,1169.0,259.1829192071708,-0.05841220302156148,25.0,0.4271436352951354,31.25,2025
NE,1st_Down,Offense,1222.0,351.0887890726779,0.06336901045742087,81.25,0.4562852370011544,59.375,2025
NO,1st_Down,Offense,1137.0,281.5134199941445,-0.11764136622285416,6.25,0.36639079463127816,6.25,2025
NYG,1st_Down,Offense,1103.0,287.4498179692939,0.019240414062376157,53.125,0.41216319119226574,21.875,2025
NYJ,1st_Down,Offense,1070.0,239.7496762222325,-0.0068145258596919575,43.75,0.4383298243626183,43.75,2025
PHI,1st_Down,Offense,1347.0,322.5287800431554,-0.008358170614919292,40.625,0.42845149598666105,34.375,2025
PIT,1st_Down,Offense,1213.0,303.45697703757406,-0.004082987745594013,46.875,0.43686411891986887,40.625,2025
SEA,1st_Down,Offense,1257.0,337.0784459678283,0.046550947034614744,75.0,0.44411949645866544,53.125,2025
SF,1st_Down,Offense,1341.0,350.05023959197024,0.022171823879313123,59.375,0.4744873258864451,93.75,2025
TB,1st_Down,Offense,1278.0,310.07037725070734,0.03895929746040049,65.625,0.4500090676839806,56.25,2025
TEN,1st_Down,Offense,1050.0,237.0176971994609,-0.07141724368977698,15.625,0.3769238065505575,9.375,2025
WAS,1st_Down,Offense,1211.0,275.1315758357448,-0.017591195855983115,31.25,0.434087482031728,37.5,2025
ARI,1st_Down,Defense,1192.0,290.40189804622975,0.08890657228059225,21.875,0.4665431768491397,18.75,2025
ATL,1st_Down,Defense,1235.0,299.9732274964724,-0.0186207230912548,62.5,0.4238609364420923,71.875,2025
BAL,1st_Down,Defense,1180.0,282.2941052172822,0.10557133885325014,18.75,0.46333863842432205,25.0,2025
BUF,1st_Down,Defense,1316.0,330.7396226573878,-0.0296367667995068,68.75,0.4301103432052167,56.25,2025
CAR,1st_Down,Defense,1176.0,305.9868303188442,0.022430102357685933,40.625,0.429513981054117,62.5,2025
CHI,1st_Down,Defense,1205.0,353.20326268858634,0.015362666720818935,46.875,0.4395517545772575,46.875,2025
CIN,1st_Down,Defense,1215.0,280.2713871898449,0.12229703782208946,6.25,0.45631621537850686,34.375,2025
CLE,1st_Down,Defense,1107.0,276.8250818069793,-0.07532360892167238,90.625,0.4300852120319893,59.375,2025
DAL,1st_Down,Defense,1099.0,293.54055706614446,0.12205321856441931,9.375,0.4950997606478412,6.25,2025
DEN,1st_Down,Defense,1265.0,343.7824714332313,-0.07586512857853306,93.75,0.39015275252204945,96.875,2025
DET,1st_Down,Defense,1234.0,294.7252899575677,-0.024476613505177523,65.625,0.42434805335103193,68.75,2025
GB,1st_Down,Defense,1254.0,320.62659221314493,-0.006769517952895482,56.25,0.4230090706613966,75.0,2025
HOU,1st_Down,Defense,1284.0,314.38665206160664,-0.14966447797139087,100.0,0.3857348822105979,100.0,2025
IND,1st_Down,Defense,1278.0,315.08747623779175,0.02697555078692476,34.375,0.46118586918050847,28.125,2025
JAX,1st_Down,Defense,1218.0,298.4568085846524,0.08536270997318142,25.0,0.45907793014278314,31.25,2025
KC,1st_Down,Defense,1343.0,299.4254703329474,0.02397887752983078,37.5,0.44799325804426804,40.625,2025
LA,1st_Down,Defense,1349.0,366.77634824252345,-0.03484550385591836,71.875,0.4228137601068668,78.125,2025
LAC,1st_Down,Defense,1203.0,293.5927831329251,-0.01521058396998947,59.375,0.4202474537134298,81.25,2025
LV,1st_Down,Defense,1130.0,266.3235484413809,-0.04212413938931103,78.125,0.428783524216509,65.625,2025
MIA,1st_Down,Defense,1106.0,266.63359109994946,0.11374701899138263,15.625,0.5147245595294548,3.125,2025
MIN,1st_Down,Defense,1187.0,275.34172639345246,-0.11099012856818856,96.875,0.4150241445157887,90.625,2025
NE,1st_Down,Defense,1226.0,334.2057125512364,-0.037604480551466646,75.0,0.4388901538697312,50.0,2025
NO,1st_Down,Defense,1165.0,284.4059093628199,-0.04213053691305725,81.25,0.41579092816287894,87.5,2025
NYG,1st_Down,Defense,1185.0,288.85892690370645,0.038036092957170434,31.25,0.4461496036692966,43.75,2025
NYJ,1st_Down,Defense,1180.0,285.83115245225736,0.11973357849513092,12.5,0.46653056435921286,21.875,2025
PHI,1st_Down,Defense,1344.0,345.4000590946653,-0.06724800172634929,87.5,0.41919424785452597,84.375,2025
PIT,1st_Down,Defense,1278.0,318.850191213423,-0.04832679060105803,84.375,0.43065661228319496,53.125,2025
SEA,1st_Down,Defense,1264.0,309.6037825416934,0.00822462201417312,53.125,0.40851915465538957,93.75,2025
SF,1st_Down,Defense,1259.0,319.7165654711836,0.012909288971195743,50.0,0.470955609865756,15.625,2025
TB,1st_Down,Defense,1244.0,294.7287883892541,0.016593521501728558,43.75,0.4531693431529357,37.5,2025
TEN,1st_Down,Defense,1110.0,261.69741258452217,0.16873016241452946,3.125,0.4837153017838867,9.375,2025
WAS,1st_Down,Defense,1281.0,306.82320821740166,0.06370890614748383,28.125,0.47145409996193005,12.5,2025
BUF,Scramble,Offense,145.0,38.032280853567336,0.4312962789657911,37.5,0.5964356417631597,50.0,2025
CHI,Scramble,Offense,131.0,35.4172277667239,0.5381113837958754,75.0,0.6276262530440839,62.5,2025
KC,Scramble,Offense,163.0,39.70458337355327,0.4943589222502168,50.0,0.6488468421903704,75.0,2025
LAC,Scramble,Offense,120.0,38.54299487723762,0.3875169179327613,12.5,0.5855165552547322,25.0,2025
NE,Scramble,Offense,130.0,47.44297588002018,0.6643147161441362,87.5,0.7303008633174517,100.0,2025
PHI,Scramble,Offense,136.0,31.83789623616331,0.42749580410105525,25.0,0.569238329309718,12.5,2025
TB,Scramble,Offense,116.0,31.491950252409517,0.82125352618059,100.0,0.6598418663261009,87.5,2025
WAS,Scramble,Offense,160.0,40.87374426560156,0.4944327433306781,62.5,0.5947423106664602,37.5,2025
PHI,Scramble,Defense,122.0,35.74888315545618,0.2603573633015481,100.0,0.5667499837873221,100.0,2025
ARI,Target_WR,Offense,644.0,151.81482557986018,0.02802296776340958,68.75,0.4346976800358984,46.875,2025
ATL,Target_WR,Offense,757.0,180.87074242571208,-0.04610273205881807,43.75,0.41253062574246524,31.25,2025
BAL,Target_WR,Offense,707.0,141.74723203295773,0.21324967741793707,96.875,0.47793213164248954,81.25,2025
BUF,Target_WR,Offense,909.0,220.42031287225265,0.022686481939348586,65.625,0.43034530130802406,43.75,2025
CAR,Target_WR,Offense,817.0,206.12355116790866,-0.05545581470224516,31.25,0.4098218258042841,28.125,2025
CHI,Target_WR,Offense,850.0,250.81324933052002,-0.051290164794439715,34.375,0.4047764350060523,25.0,2025
CIN,Target_WR,Offense,999.0,240.3075652216684,0.00042422436564712625,62.5,0.4641612591620585,75.0,2025
CLE,Target_WR,Offense,787.0,150.79426446912478,-0.3699181823494403,3.125,0.31133725306789334,3.125,2025
DAL,Target_WR,Offense,940.0,244.45489872530703,0.20974921064496327,90.625,0.48940815745747146,84.375,2025
DEN,Target_WR,Offense,870.0,263.2455885338197,0.04333570168856485,75.0,0.43722280204688463,53.125,2025
DET,Target_WR,Offense,873.0,221.81947218000863,0.17085536270742513,84.375,0.4974172509510432,90.625,2025
GB,Target_WR,Offense,845.0,214.08822206390522,0.2744769992673148,100.0,0.5067012651550431,96.875,2025
HOU,Target_WR,Offense,1027.0,280.2722242740613,-0.05589657751918048,28.125,0.41488858072319185,34.375,2025
IND,Target_WR,Offense,889.0,202.81193585939613,0.033834647058656575,71.875,0.42987016118808863,40.625,2025
JAX,Target_WR,Offense,872.0,232.5908015020089,-0.05775855371257169,25.0,0.4481004560293822,62.5,2025
KC,Target_WR,Offense,928.0,210.78434403097975,-0.02335969405416118,46.875,0.4543879854039458,68.75,2025
LA,Target_WR,Offense,1198.0,323.6051749307834,0.18112705345869354,87.5,0.49898017171058745,93.75,2025
LAC,Target_WR,Offense,985.0,246.40515024241373,-0.007582389759411122,56.25,0.4368396749878785,50.0,2025
LV,Target_WR,Offense,691.0,144.5783897639269,-0.185897929389264,9.375,0.3780573789374169,9.375,2025
MIA,Target_WR,Offense,765.0,143.5552272226589,-0.022455877881777383,50.0,0.4505625119462026,65.625,2025
MIN,Target_WR,Offense,853.0,188.89241690810547,-0.10503190993428722,18.75,0.4388438868900616,56.25,2025
NE,Target_WR,Offense,785.0,227.1196053317723,0.21039623626152112,93.75,0.517059885258006,100.0,2025
NO,Target_WR,Offense,741.0,194.677712113839,-0.1314303771860643,15.625,0.3930076826946547,15.625,2025
NYG,Target_WR,Offense,798.0,198.4101264717025,-0.1417614094377824,12.5,0.3898511869293879,12.5,2025
NYJ,Target_WR,Offense,736.0,150.08932582082045,-0.19589936335337552,6.25,0.3533716330473084,6.25,2025
PHI,Target_WR,Offense,870.0,221.30069895603637,-0.046626445340455173,40.625,0.4283657131468827,37.5,2025
