EntryName,Status,Week_1,Week_2,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
810ofclubs-147,Alive,DET,PHI,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-148,Alive,DET,PHI,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-149,Alive,DET,PHI,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
810ofclubs-150,Eliminated,DET,BAL,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
a1chickenlittle-1,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
a1exjet-1,Eliminated,DET,BAL,80.7,9.4,96.9,93.8,23.4,21.9,1,EV Hunter,EV Hunter (97) / Sprinter (94),Low
aaron-Bliven-1,Eliminated,JAC,TB,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
aaron-Bliven-3,Alive,CHI,SF,64.6,25.0,68.8,71.9,48.3,58.6,1,Sprinter,Sprinter (72) / EV Hunter (69) / Planner (65) / Tourist (59),Low
aaronlabrie15-1,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
aaronlabrie15-2,Eliminated,PIT,TB,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
aaronlabrie15-3,Eliminated,PIT,LAC,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
aaronlabrie15-4,Eliminated,LV,LAC,46.7,12.5,71.9,78.1,63.5,40.6,1,Sprinter,Sprinter (78) / EV Hunter (72) / Hoarder (64),Low
Aaron-Li-1,Eliminated,JAC,TB,65.5,0.0,81.2,100.0,42.2,30.5,1,Sprinter,Sprinter (100),Low
aBass94-1,Alive,PIT,PHI,58.7,6.2,93.8,90.6,46.7,35.2,1,EV Hunter,EV Hunter (94) / Sprinter (91),Low
abbq-3,Alive,BAL,PHI,91.2,28.1,65.6,65.6,16.4,60.9,1,Planner,Planner (91),Low
abbq-4,Alive,BAL,SF,91.2,28.1,65.6,65.6,16.4,60.9,1,Planner,Planner (91),Low
abbq-5,Alive,BAL,SF,91.2,28.1,65.6,65.6,16.4,60.9,1,Planner,Planner (91),Low
abbq-6,Alive,BAL,PHI,91.2,28.1,65.6,65.6,16.4,60.9,1,Planner,Planner (91),Low
abbq-7,Alive,BAL,LA,91.2,28.1,65.6,65.6,16.4,60.9,1,Planner,Planner (91),Low
abbq-8,Alive,BAL,NE,91.2,28.1,65.6,65.6,16.4,60.9,1,Planner,Planner (91),Low
abbq-9,Alive,BAL,SF,91.2,28.1,65.6,65.6,16.4,60.9,1,Planner,Planner (91),Low
abbq-10,Alive,CHI,PHI,64.6,25.0,68.8,71.9,48.3,58.6,1,Sprinter,Sprinter (72) / EV Hunter (69) / Planner (65) / Tourist (59),Low
abbq-11,Alive,CHI,KC,64.6,25.0,68.8,71.9,48.3,58.6,1,Sprinter,Sprinter (72) / EV Hunter (69) / Planner (65) / Tourist (59),Low
abbq-12,Eliminated,CHI,BAL,64.6,25.0,68.8,71.9,48.3,58.6,1,Sprinter,Sprinter (72) / EV Hunter (69) / Planner (65) / Tourist (59),Low
abbq-13,Alive,CHI,PHI,64.6,25.0,68.8,71.9,48.3,58.6,1,Sprinter,Sprinter (72) / EV Hunter (69) / Planner (65) / Tourist (59),Low
abbq-14,Eliminated,CHI,TB,64.6,25.0,68.8,71.9,48.3,58.6,1,Sprinter,Sprinter (72) / EV Hunter (69) / Planner (65) / Tourist (59),Low
abbq-15,Alive,CHI,PHI,64.6,25.0,68.8,71.9,48.3,58.6,1,Sprinter,Sprinter (72) / EV Hunter (69) / Planner (65) / Tourist (59),Low
abbq-16,Alive,CHI,NE,64.6,25.0,68.8,71.9,48.3,58.6,1,Sprinter,Sprinter (72) / EV Hunter (69) / Planner (65) / Tourist (59),Low
abbq-17,Alive,CHI,KC,64.6,25.0,68.8,71.9,48.3,58.6,1,Sprinter,Sprinter (72) / EV Hunter (69) / Planner (65) / Tourist (59),Low
abbq-18,Alive,CHI,PHI,64.6,25.0,68.8,71.9,48.3,58.6,1,Sprinter,Sprinter (72) / EV Hunter (69) / Planner (65) / Tourist (59),Low
abbq-19,Alive,CIN,SF,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-20,Eliminated,CIN,CHI,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-21,Eliminated,CIN,CHI,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-22,Alive,CIN,PHI,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-23,Eliminated,CIN,CHI,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-24,Alive,CIN,SF,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-25,Eliminated,CIN,LAC,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-26,Alive,CIN,DAL,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-27,Alive,CIN,GB,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
abbq-28,Alive,CIN,SF,76.3,18.8,84.4,81.2,34.3,47.7,1,EV Hunter,EV Hunter (84) / Sprinter (81) / Planner (76),Low
