type,player,position,from_team,to_team,value,epa,season
Free Agent Signing,Nick Folk,K,NYJ,ATL,4.0,,2026
Free Agent Signing,Calais Campbell,DL,ARI,BAL,14.0,,2026
Free Agent Signing,Josh Johnson,QB,WAS,CIN,,,2026
Free Agent Signing,Andy Dalton,QB,CAR,PHI,,,2026
Free Agent Signing,Tyrod Taylor,QB,NYJ,GB,,,2026
Free Agent Signing,Johnny Hekker,P,TEN,MIN,2.0,,2026
Free Agent Signing,Kirk Cousins,QB,ATL,LV,,,2026
Free Agent Signing,Demario Davis,LB,NO,NYJ,10.0,,2026
Free Agent Signing,Adam Thielen,WR,PIT,MIN,,,2026
Free Agent Signing,Geno Smith,QB,LV,NYJ,,,2026
Free Agent Signing,Casey Kreiter,LS,NYG,ARI,1.0,,2026
Free Agent Signing,Teddy Bridgewater,QB,TB,DET,,,2026
Free Agent Signing,Shelby Harris,DL,CLE,NYG,14.0,,2026
Free Agent Signing,Mike Evans,WR,TB,SF,,,2026
Free Agent Signing,Michael Burton,RB,DEN,CLE,8.0,,2026
Free Agent Signing,Bobby Hart,OL,LAC,SEA,10.0,,2026
Free Agent Signing,Rakeem Nunez-Roches,DL,NYG,TB,11.0,,2026
Free Agent Signing,Dante Fowler Jr.,DL,DAL,SEA,14.0,,2026
Free Agent Signing,Bradley Pinion,P,ATL,MIA,2.0,,2026
Free Agent Signing,Ameer Abdullah,RB,IND,JAX,,,2026
Free Agent Signing,Trevor Siemian,QB,TEN,ATL,0.0,,2026
Free Agent Signing,Joe Cardona,LS,MIA,LA,1.0,,2026
Free Agent Signing,Austin Hooper,TE,NE,ATL,,,2026
Free Agent Signing,Miles Killebrew,DB,PIT,TB,2.0,,2026
Free Agent Signing,DJ Reader,DL,DET,NYG,11.0,,2026
Free Agent Signing,Brandon Allen,QB,TEN,NYG,,,2026
Free Agent Signing,Kalif Raymond,WR,DET,CHI,,,2026
Free Agent Signing,Jonathan Jones,DB,WAS,PHI,10.0,,2026
Free Agent Signing,A'Shawn Robinson,DL,CAR,TB,11.0,,2026
Free Agent Signing,Isaac Seumalo,OL,PIT,ARI,9.0,,2026
Free Agent Signing,David Onyemata,DL,ATL,NYJ,11.0,,2026
Free Agent Signing,Andrew Billings,DL,CHI,ARI,11.0,,2026
Free Agent Signing,Lucas Patrick,OL,CIN,NYG,9.0,,2026
Free Agent Signing,Jonathan Bullard,DL,NO,DAL,14.0,,2026
Free Agent Signing,Javon Hargrave,DL,MIN,GB,8.0,,2026
Free Agent Signing,Kevin Byard,DB,CHI,NE,9.0,,2026
Free Agent Signing,Johnny Mundt,TE,JAX,PHI,,,2026
Free Agent Signing,Chuck Clark,DB,PIT,DET,2.0,,2026
Free Agent Signing,Kendrick Bourne,WR,SF,ARI,,,2026
Free Agent Signing,Josh Tupou,DL,BAL,NYG,11.0,,2026
Free Agent Signing,Tim Patrick,WR,JAX,NYJ,,,2026
Free Agent Signing,Patrick Ricard,RB,BAL,NYG,,,2026
Free Agent Signing,Anthony Firkser,TE,DET,WAS,,,2026
Free Agent Signing,Jonathan Allen,DL,MIN,CIN,14.0,,2026
Free Agent Signing,Dalvin Tomlinson,DL,ARI,LAC,14.0,,2026
Free Agent Signing,Elijah Wilkinson,OL,ATL,ARI,10.0,,2026
Free Agent Signing,Cameron Johnston,P,NYG,PIT,2.0,,2026
Free Agent Signing,Robert Tonyan,TE,KC,PIT,,,2026
Free Agent Signing,Ahkello Witherspoon,DB,LA,WAS,12.0,,2026
Free Agent Signing,Corey Levin,OL,TEN,ATL,9.0,,2026
Free Agent Signing,JuJu Smith-Schuster,WR,KC,NYG,,,2026
Free Agent Signing,Zane Gonzalez,K,ATL,MIA,4.0,,2026
Free Agent Signing,Myles Garrett,DL,CLE,LA,14.0,,2026
Free Agent Signing,Mitchell Trubisky,QB,BUF,TEN,,,2026
Free Agent Signing,Solomon Thomas,DL,DAL,TEN,14.0,,2026
Free Agent Signing,David Njoku,TE,CLE,LAC,,,2026
Free Agent Signing,Alex Anzalone,LB,DET,TB,9.0,,2026
Free Agent Signing,Trey Hendrickson,DL,CIN,BAL,14.0,,2026
Free Agent Signing,Samson Ebukam,DL,IND,ATL,14.0,,2026
Free Agent Signing,Al-Quadin Muhammad,DL,DET,TB,9.0,,2026
Free Agent Signing,Scott Daly,LS,CHI,TB,1.0,,2026
Free Agent Signing,Austin Schlottmann,OL,NYG,TEN,8.0,,2026
Free Agent Signing,J.T. Gray,DB,TB,PHI,10.0,,2026
Free Agent Signing,Jacob Martin,DL,WAS,TEN,14.0,,2026
Free Agent Signing,Elijah Campbell,DB,MIA,NYG,10.0,,2026
Free Agent Signing,Austin Corbett,OL,CAR,BUF,8.0,,2026
Free Agent Signing,Tyler Conklin,TE,LAC,DET,,,2026
Free Agent Signing,Marquez Valdes-Scantling,WR,PIT,DAL,,,2026
Free Agent Signing,Kentavius Street,DL,ATL,CHI,14.0,,2026
Free Agent Signing,Isaiah Oliver,DB,NYJ,ARI,9.0,,2026
Free Agent Signing,Da'Shawn Hand,DL,LAC,ATL,14.0,,2026
Free Agent Signing,Taron Johnson,DB,BUF,LV,12.0,,2026
Free Agent Signing,Tim Settle,DL,HOU,WAS,11.0,,2026
Free Agent Signing,Wyatt Teller,OL,CLE,HOU,8.0,,2026
Free Agent Signing,Matt Pryor,OL,PHI,ARI,9.0,,2026
Free Agent Signing,Cedrick Wilson Jr.,WR,MIA,DET,,,2026
Free Agent Signing,Braxton Berrios,WR,HOU,NYG,,,2026
Free Agent Signing,Zaire Franklin,LB,IND,GB,10.0,,2026
Free Agent Signing,Jonathan Owens,DB,CHI,IND,2.0,,2026
Free Agent Signing,Trent Sherfield,WR,NE,BUF,,,2026
Free Agent Signing,Evan Brown,OL,ARI,HOU,8.0,,2026
Free Agent Signing,Kyle Allen,QB,DET,BUF,,,2026
Free Agent Signing,Tremaine Edmunds,LB,CHI,NYG,9.0,,2026
Free Agent Signing,Christian Kirk,WR,HOU,SF,,,2026
Free Agent Signing,Ronnie Harrison,LB,ATL,MIA,9.0,,2026
Free Agent Signing,Minkah Fitzpatrick,DB,MIA,NYJ,9.0,,2026
Free Agent Signing,Jason Sanders,K,MIA,NYJ,4.0,,2026
Free Agent Signing,Durham Smythe,TE,CHI,BAL,,,2026
Free Agent Signing,John Franklin-Myers,DL,DEN,TEN,14.0,,2026
Free Agent Signing,Sebastian Joseph-Day,DL,TEN,PIT,11.0,,2026
Free Agent Signing,Derrick Nnadi,DL,KC,IND,8.0,,2026
Free Agent Signing,Arden Key,DL,TEN,IND,14.0,,2026
Free Agent Signing,DJ Moore,WR,CHI,BUF,,,2026
Free Agent Signing,Bradley Chubb,LB,MIA,BUF,10.0,,2026
Free Agent Signing,Braden Smith,OL,IND,HOU,10.0,,2026
Free Agent Signing,Rashan Gary,DL,GB,DAL,9.0,,2026
Free Agent Signing,Darnell Savage,DB,BUF,PIT,10.0,,2026
Free Agent Signing,Foster Moreau,TE,NO,HOU,,,2026
Free Agent Signing,Dre Greenlaw,LB,DEN,SF,9.0,,2026
Free Agent Signing,Justin Skule,OL,MIN,TB,10.0,,2026
Free Agent Signing,Olisaemeka Udoh,OL,TEN,ARI,10.0,,2026
Free Agent Signing,Demetrius Flannigan-Fowles,LB,NYG,BUF,9.0,,2026
Free Agent Signing,Jake Browning,QB,CIN,TB,,,2026
Free Agent Signing,Alec Ingold,RB,MIA,LAC,,,2026
Free Agent Signing,Olamide Zaccheaus,WR,CHI,ATL,,,2026
Free Agent Signing,P.J. Locke,DB,DEN,DAL,10.0,,2026
Free Agent Signing,Kyler Murray,QB,ARI,MIN,,,2026
Free Agent Signing,Tytus Howard,OL,HOU,CLE,10.0,,2026
Free Agent Signing,Jawaan Taylor,OL,KC,ATL,10.0,,2026
Free Agent Signing,Lonnie Johnson,DB,LV,MIA,2.0,,2026
Free Agent Signing,Will Grier,QB,DAL,CAR,0.0,,2026
Free Agent Signing,C.J. Gardner-Johnson,DB,CHI,BUF,2.0,,2026
Free Agent Signing,Mike Jordan,OL,TB,PHI,8.0,,2026
Free Agent Signing,Matt Gay,K,SF,LV,4.0,,2026
Free Agent Signing,Charles Omenihu,DL,KC,WAS,14.0,,2026
Free Agent Signing,Jake Bailey,P,MIA,ATL,2.0,,2026
Free Agent Signing,Easton Stick,QB,ATL,IND,0.0,,2026
Free Agent Signing,Gardner Minshew,QB,KC,ARI,,,2026
Free Agent Signing,Scott Miller,WR,PIT,CHI,,,2026
Free Agent Signing,Kaden Elliss,LB,ATL,NO,9.0,,2026
Free Agent Signing,Cam Lewis,DB,BUF,CHI,12.0,,2026
Free Agent Signing,David Sills,WR,ATL,TB,,,2026
Free Agent Signing,Andrew Wingard,DB,JAX,ARI,2.0,,2026
Free Agent Signing,Greg Dortch,WR,ARI,DET,,,2026
Free Agent Signing,Devin Bush,LB,CLE,CHI,9.0,,2026
Free Agent Signing,Elgton Jenkins,OL,GB,CLE,8.0,,2026
Free Agent Signing,Kemon Hall,DB,TEN,TB,10.0,,2026
Free Agent Signing,Garrett Bradbury,OL,NE,CHI,8.0,,2026
Free Agent Signing,Travis Homer,RB,CHI,PIT,,,2026
Free Agent Signing,Noah Fant,TE,CIN,NO,,,2026
Free Agent Signing,Marquise Brown,WR,KC,PHI,,,2026
Free Agent Signing,David Edwards,OL,BUF,NO,10.0,,2026
Free Agent Signing,Jerry Tillery,DL,KC,IND,11.0,,2026
Free Agent Signing,A.J. Brown,WR,PHI,NE,,,2026
Free Agent Signing,Dre'Mont Jones,LB,BAL,NE,14.0,,2026
Free Agent Signing,Quincy Williams,LB,NYJ,CLE,9.0,,2026
Free Agent Signing,Dexter Lawrence,DL,NYG,CIN,11.0,,2026
Free Agent Signing,David Montgomery,RB,DET,HOU,,,2026
Free Agent Signing,Jamel Dean,DB,TB,PIT,12.0,,2026
Free Agent Signing,Jalen Thompson,DB,ARI,DAL,10.0,,2026
Free Agent Signing,Brett Toth,OL,PHI,SF,8.0,,2026
Free Agent Signing,James Pierre,DB,PIT,MIN,12.0,,2026
Free Agent Signing,Corliss Waitman,P,PIT,SF,2.0,,2026
Free Agent Signing,Benito Jones,DL,MIA,LV,11.0,,2026
Free Agent Signing,Chris Williams,DL,CHI,ATL,11.0,,2026
Free Agent Signing,Tommy Townsend,P,HOU,TEN,2.0,,2026
Free Agent Signing,Joe Bachie,LB,TEN,DET,9.0,,2026
Free Agent Signing,Christian Rozeboom,LB,CAR,TB,9.0,,2026
Free Agent Signing,Jonah Williams,DL,NO,ARI,14.0,,2026
Free Agent Signing,Trystan Colon,OL,DET,JAX,9.0,,2026
Free Agent Signing,Salvon Ahmed,RB,IND,CHI,8.0,,2026
Free Agent Signing,Myles Bryant,DB,HOU,CLE,12.0,,2026
Free Agent Signing,Brandon Walton,OL,CAR,ATL,10.0,,2026
Free Agent Signing,Rico Dowdle,RB,CAR,PIT,,,2026
Free Agent Signing,Joshua Uche,LB,PHI,MIA,9.0,,2026
Free Agent Signing,Dane Jackson,DB,BUF,JAX,12.0,,2026
Free Agent Signing,Nick Westbrook-Ikhine,WR,MIA,IND,,,2026
Free Agent Signing,Reggie Gilliam,RB,BUF,NE,,,2026
Free Agent Signing,Anfernee Jennings,LB,NE,NO,9.0,,2026
Free Agent Signing,Charlie Heck,OL,TB,MIA,10.0,,2026
Free Agent Signing,Geno Stone,DB,CIN,BUF,2.0,,2026
Free Agent Signing,Tua Tagovailoa,QB,MIA,ATL,,,2026
Free Agent Signing,Danny Pinter,OL,IND,BAL,8.0,,2026
Free Agent Signing,Jonathan Greenard,LB,MIN,PHI,9.0,,2026
Free Agent Signing,Kyle Dugger,DB,PIT,CIN,2.0,,2026
Free Agent Signing,Harrison Bryant,TE,HOU,SEA,,,2026
Free Agent Signing,Michael Pittman,WR,IND,PIT,,,2026
Free Agent Signing,Jauan Jennings,WR,SF,MIN,,,2026
Free Agent Signing,AJ Dillon,RB,PHI,CAR,,,2026
Free Agent Signing,Jordan Elliott,DL,SF,TEN,11.0,,2026
Free Agent Signing,Ben Bartch,OL,SF,DET,9.0,,2026
Free Agent Signing,K'Lavon Chaisson,LB,NE,WAS,9.0,,2026
Free Agent Signing,Noah Igbinoghene,DB,WAS,SEA,12.0,,2026
Free Agent Signing,Matt Hennessy,OL,SF,DAL,9.0,,2026
Free Agent Signing,Akeem Davis-Gaither,LB,ARI,IND,9.0,,2026
Free Agent Signing,Jaylinn Hawkins,DB,NE,BAL,2.0,,2026
Free Agent Signing,Daniel Thomas,DB,DET,CLE,2.0,,2026
Free Agent Signing,Kindle Vildor,DB,TB,NE,12.0,,2026
Free Agent Signing,Darnell Mooney,WR,ATL,NYG,,,2026
Free Agent Signing,Ashtyn Davis,DB,MIA,SF,2.0,,2026
Free Agent Signing,Devin Duvernay,WR,CHI,ARI,,,2026
Free Agent Signing,D.J. Wonnum,LB,CAR,DET,9.0,,2026
Free Agent Signing,James Lynch,DL,TEN,CHI,11.0,,2026
Free Agent Signing,Khalid Kareem,DL,ATL,NYG,9.0,,2026
Free Agent Signing,K.J. Osborn,WR,ATL,TEN,12.0,,2026
Free Agent Signing,Neville Gallimore,DL,IND,CHI,11.0,,2026
Free Agent Signing,John Simpson,OL,NYJ,BAL,8.0,,2026
Free Agent Signing,Leki Fotu,DL,HOU,NYG,11.0,,2026
Free Agent Signing,L'Jarius Sneed,DB,TEN,KC,2.0,,2026
Free Agent Signing,Amik Robertson,DB,DET,WAS,12.0,,2026
Free Agent Signing,Tyler Biadasz,OL,WAS,LAC,8.0,,2026
Free Agent Signing,Michael Danna,DL,KC,BUF,9.0,,2026
Free Agent Signing,Alohi Gilman,DB,BAL,KC,2.0,,2026
Free Agent Signing,Jalen Reagor,WR,LAC,MIA,12.0,,2026
Free Agent Signing,Lloyd Cushenberry III,OL,TEN,BUF,8.0,,2026
Free Agent Signing,Darnay Holmes,DB,LV,ATL,12.0,,2026
Free Agent Signing,K'Von Wallace,DB,HOU,BAL,2.0,,2026
Free Agent Signing,Van Jefferson,WR,TEN,WAS,,,2026
Free Agent Signing,Tyler Johnson,WR,NYJ,DAL,,,2026
Free Agent Signing,Kwity Paye,DL,IND,LV,14.0,,2026
Free Agent Signing,Jason Pinnock,DB,SF,NYG,2.0,,2026
Free Agent Signing,Shane Zylstra,TE,DET,BUF,,,2026
Free Agent Signing,Azeez Ojulari,LB,PHI,ATL,9.0,,2026
Free Agent Signing,Elijah Mitchell,RB,NE,PHI,,,2026
Free Agent Signing,Roy Lopez,DL,DET,ARI,11.0,,2026
Free Agent Signing,Foster Sarell,OL,LAC,WAS,9.0,,2026
Free Agent Signing,Ar'Darius Washington,DB,BAL,NYG,2.0,,2026
Free Agent Signing,Robert Jones,OL,DAL,SF,9.0,,2026
Free Agent Signing,Jaylen Waddle,WR,MIA,DEN,,,2026
Free Agent Signing,Jamin Davis,LB,LV,PIT,9.0,,2026
