EntryName,Total_Wins,Week_1,Week_2,Week_3,Week_4,Week_5,Week_6,Week_7,Week_8,Week_9,Week_10,Week_11,Week_12,Week_13,Week_14,Week_15,Week_16,Week_17,Week_18,Planner,Contrarian,EV Hunter,Sprinter,Hoarder,Tourist,Picks_Used,Primary_Archetype,Archetype_Mix,Confidence
TIM'S SUNSCREEN-2,18,BUF,ARI,CLE,TB,LAR,IND,LAC,PHI,NE,NO,PIT,HOU,MIA,KC,SEA,TEN,CHI,BAL,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
WHAT IS FOOTBALL?-1,18,BUF,TEN,CLE,LAR,PIT,MIA,LAC,PHI,NE,NO,KC,HOU,GB,MIN,SEA,BAL,TB,IND,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
WHERE'S LUNCH-2,18,BUF,TB,IND,LAR,NO,MIA,LAC,KC,NE,GB,PIT,HOU,CLE,MIN,SEA,TEN,CHI,BAL,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
@plastered in paris-1,16,BUF,ARI,IND,LAR,DAL,MIA,NO,PHI,PIT,GB,KC,HOU,NYG,MIN,SEA,TEN,CLE,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
Accorsi-1,16,KC,TEN,NE,TB,BAL,IND,LAR,BUF,PIT,GB,NO,WAS,MIN,MIA,DAL,ARI,HOU,ELIMINATED,95.6,12.5,96.9,96.9,7.6,13.3,1,EV Hunter,EV Hunter (97) / Sprinter (97) / Planner (96),Low
Anonymous Donors-1,16,BAL,TB,IND,LAR,NO,MIA,BUF,PHI,PIT,LV,LAC,HOU,GB,KC,SEA,TEN,CLE,ELIMINATED,88.2,9.4,87.5,87.5,0.0,17.2,1,Planner,Planner (88) / EV Hunter (88) / Sprinter (88),Low
BLOW OUT-1,16,NE,TEN,IND,LAR,BAL,MIA,BUF,PHI,KC,GB,PIT,WAS,CLE,MIN,SEA,ARI,HOU,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
BullsBearsSheep-1,16,LAC,TB,NE,LAR,BAL,IND,BUF,PHI,KC,GB,PIT,HOU,NO,MIA,SEA,TEN,CLE,ELIMINATED,95.6,31.2,65.6,65.6,25.6,69.5,1,Planner,Planner (96),Low
DR B-2,16,BAL,SF,IND,LAR,SEA,MIA,BUF,TB,KC,NO,PIT,WAS,GB,MIN,TEN,ARI,CLE,ELIMINATED,88.2,9.4,87.5,87.5,0.0,17.2,1,Planner,Planner (88) / EV Hunter (88) / Sprinter (88),Low
HMA-1,16,BUF,SF,IND,LAR,BAL,MIA,NO,KC,PIT,GB,LAC,WAS,NYG,MIN,SEA,TEN,HOU,ELIMINATED,88.2,3.1,84.4,84.4,23.7,31.2,1,Planner,Planner (88) / EV Hunter (84) / Sprinter (84),Low
Jimmy Wiseguy-1,16,NE,SF,IND,LAR,BAL,MIA,BUF,KC,PIT,GB,LAC,HOU,NO,MIN,SEA,ARI,CLE,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
LOGICIANS-2,16,NE,TB,CLE,BAL,NO,IND,LAR,KC,PIT,GB,LAC,HOU,MIA,MIN,SEA,TEN,ARI,ELIMINATED,58.8,6.2,93.8,93.8,46.9,34.4,1,EV Hunter,EV Hunter (94) / Sprinter (94),Low
LOS GUAPOS-1,16,PIT,SF,IND,LAR,BAL,DET,BUF,TB,NE,GB,KC,HOU,MIA,MIN,SEA,TEN,CLE,ELIMINATED,100.0,18.8,81.2,81.2,15.2,37.5,1,Planner,Planner (100),Low
