week,team,actual,behavioral,topdown,behavioral_err,topdown_err
7,MIA,0.00045,0.00679,0.00031,0.00633,-0.00014
7,MIN,0.0,0.00031,0.00022,0.00031,0.00022
7,NE,0.28296,0.11277,0.20837,-0.17019,-0.07459
7,NO,0.0,0.0001,0.0,0.0001,0.0
7,NYG,0.0,3e-05,3e-05,3e-05,3e-05
7,NYJ,0.00091,0.00127,0.00568,0.00036,0.00477
7,PHI,0.00045,0.00295,0.00192,0.0025,0.00146
7,PIT,0.04101,0.01471,0.09339,-0.0263,0.05239
7,SEA,0.01155,0.0012,0.00683,-0.01035,-0.00472
7,SF,0.00181,0.00072,0.00126,-0.00109,-0.00056
7,TB,0.0,0.00011,4e-05,0.00011,4e-05
7,TEN,0.0,3e-05,0.00027,3e-05,0.00027
7,WAS,0.00023,0.00126,0.00016,0.00104,-6e-05
8,ATL,0.32945,0.3633,0.25004,0.03385,-0.07941
8,BAL,0.00143,0.00372,0.00149,0.0023,7e-05
8,BUF,0.0209,0.0217,0.03142,0.0008,0.01052
8,CAR,0.0,6e-05,1e-05,6e-05,1e-05
8,CHI,0.0,0.00039,0.00022,0.00039,0.00022
8,CIN,0.18171,0.09156,0.13835,-0.09015,-0.04336
8,CLE,0.0,5e-05,3e-05,5e-05,3e-05
8,DAL,0.0,0.00039,3e-05,0.00039,3e-05
8,DEN,0.00071,0.00252,0.00109,0.00181,0.00038
8,GB,0.00024,0.00184,0.00082,0.00161,0.00058
8,HOU,0.0,0.002,0.00086,0.002,0.00086
8,IND,0.34489,0.31909,0.26847,-0.0258,-0.07643
8,KC,0.01924,0.01247,0.10482,-0.00677,0.08558
8,LAC,0.0038,0.00153,0.0056,-0.00227,0.0018
8,MIA,0.0,0.00023,0.0,0.00023,0.0
8,MIN,0.0,0.00154,0.00028,0.00154,0.00028
8,NE,0.06983,0.04515,0.08701,-0.02469,0.01717
8,NO,0.0,0.00013,5e-05,0.00013,5e-05
8,NYG,0.0,4e-05,1e-05,4e-05,1e-05
8,NYJ,0.0,0.00021,0.00022,0.00021,0.00022
8,PHI,0.02114,0.07911,0.05888,0.05797,0.03774
8,PIT,0.0,0.00073,0.00013,0.00073,0.00013
8,SF,0.00024,0.00047,0.00032,0.00023,8e-05
8,TB,0.00641,0.05137,0.0496,0.04495,0.04318
8,TEN,0.0,3e-05,0.00022,3e-05,0.00022
8,WAS,0.0,0.00035,4e-05,0.00035,4e-05
9,ARI,0.0,0.00068,0.0002,0.00068,0.0002
9,ATL,0.0,0.00014,0.0,0.00014,0.0
9,BAL,0.01021,0.0049,0.10931,-0.00531,0.0991
9,BUF,0.0,0.00062,1e-05,0.00062,1e-05
9,CAR,0.0,2e-05,0.0,2e-05,0.0
9,CHI,0.00097,0.00374,0.00373,0.00276,0.00275
9,CIN,0.0,0.00059,2e-05,0.00059,2e-05
9,DAL,0.00389,0.00229,0.00981,-0.0016,0.00592
9,DEN,0.0,0.00051,8e-05,0.00051,8e-05
9,DET,0.00729,0.00743,0.0291,0.00014,0.02181
9,GB,0.12834,0.06037,0.11022,-0.06797,-0.01812
9,HOU,0.00049,0.00083,0.0003,0.00034,-0.00019
9,IND,0.0,0.00015,0.00033,0.00015,0.00033
9,JAX,0.00194,0.00744,0.00225,0.0055,0.0003
9,KC,0.0,0.00058,0.00389,0.00058,0.00389
9,LA,0.6456,0.62811,0.43586,-0.01749,-0.20974
9,LAC,0.19397,0.26236,0.27022,0.06838,0.07625
9,LV,0.0,0.00014,0.00286,0.00014,0.00286
9,MIA,0.0,7e-05,0.0,7e-05,0.0
9,MIN,0.0,4e-05,0.0,4e-05,0.0
9,NE,0.00632,0.0013,0.00875,-0.00502,0.00243
9,NO,0.0,1e-05,0.0,1e-05,0.0
9,NYG,0.0,0.00024,2e-05,0.00024,2e-05
9,PIT,0.0,0.00159,0.00494,0.00159,0.00494
9,SEA,0.00049,0.00417,0.00161,0.00369,0.00112
9,SF,0.00049,0.01152,0.00612,0.01104,0.00563
9,TEN,0.0,4e-05,0.00019,4e-05,0.00019
9,WAS,0.0,0.00012,0.0002,0.00012,0.0002
10,ARI,0.0,2e-05,0.00018,2e-05,0.00018
10,ATL,0.0,0.00073,0.00017,0.00073,0.00017
10,BAL,0.00622,0.01045,0.00527,0.00423,-0.00095
10,BUF,0.14754,0.03984,0.13821,-0.1077,-0.00933
10,CAR,0.27699,0.39936,0.24774,0.12237,-0.02926
10,CHI,0.09497,0.04108,0.03957,-0.05389,-0.0554
10,CLE,0.00509,0.00102,0.01631,-0.00407,0.01122
10,DEN,0.24251,0.27364,0.21519,0.03113,-0.02732
10,DET,0.05088,0.10571,0.14259,0.05483,0.09172
10,GB,0.0,0.00198,5e-05,0.00198,5e-05
10,HOU,0.00226,0.00146,0.0103,-0.0008,0.00804
10,IND,0.00735,0.00086,0.01979,-0.00649,0.01244
10,JAX,0.00057,0.00115,0.00068,0.00058,0.00011
10,LA,0.00735,0.0077,0.00181,0.00035,-0.00554
10,LAC,0.00509,0.00386,0.00428,-0.00123,-0.0008
10,LV,0.0,2e-05,0.00025,2e-05,0.00025
10,MIA,0.0,4e-05,0.0,4e-05,0.0
10,MIN,0.0,5e-05,0.0,5e-05,0.0
10,NE,0.0,0.00114,2e-05,0.00114,2e-05
10,NO,0.0,0.00019,0.0,0.00019,0.0
10,NYG,0.0,6e-05,0.0,6e-05,0.0
10,NYJ,0.00113,0.01272,0.00841,0.01159,0.00728
10,PHI,0.0,0.00071,0.00059,0.00071,0.00059
10,PIT,0.0,0.00086,1e-05,0.00086,1e-05
10,SEA,0.14754,0.09384,0.13586,-0.0537,-0.01168
10,SF,0.0,5e-05,0.00179,5e-05,0.00179
10,TB,0.00452,0.00144,0.01094,-0.00309,0.00642
10,WAS,0.0,5e-05,1e-05,5e-05,1e-05
11,ARI,0.0,3e-05,0.00025,3e-05,0.00025
11,ATL,0.043,0.00826,0.0025,-0.03474,-0.0405
11,BAL,0.088,0.28037,0.2141,0.19237,0.1261
11,BUF,0.012,0.00193,0.00749,-0.01007,-0.00451
11,CAR,0.0,0.0003,0.00466,0.0003,0.00466
11,CHI,0.0,8e-05,0.0,8e-05,0.0
11,CIN,0.0,8e-05,0.00047,8e-05,0.00047
11,CLE,0.0,1e-05,0.0,1e-05,0.0
11,DAL,0.025,0.01306,0.04224,-0.01194,0.01724
11,DEN,0.0,6e-05,0.0,6e-05,0.0
11,DET,0.0,0.00016,0.0,0.00016,0.0
11,GB,0.099,0.06534,0.10755,-0.03366,0.00855
11,HOU,0.129,0.12236,0.12603,-0.00664,-0.00297
11,JAX,0.0,0.00026,0.0,0.00026,0.0
11,KC,0.001,0.00112,0.0085,0.00012,0.0075
11,LA,0.0,0.0001,0.0013,0.0001,0.0013
11,LAC,0.006,0.0012,0.00954,-0.0048,0.00354
11,LV,0.0,0.00017,0.00033,0.00017,0.00033
11,MIA,0.01,0.00828,0.02457,-0.00172,0.01457
11,MIN,0.011,0.00105,0.00694,-0.00995,-0.00406
11,NE,0.44,0.44953,0.37833,0.00953,-0.06167
11,NYG,0.0,1e-05,0.0,1e-05,0.0
11,NYJ,0.0,2e-05,0.00029,2e-05,0.00029
11,PHI,0.0,0.00071,0.00194,0.00071,0.00194
11,PIT,0.115,0.02979,0.04989,-0.08521,-0.06511
11,SEA,0.0,7e-05,2e-05,7e-05,2e-05
11,SF,0.021,0.01528,0.01261,-0.00572,-0.00839
11,TB,0.0,2e-05,0.0,2e-05,0.0
11,TEN,0.0,5e-05,0.00034,5e-05,0.00034
11,WAS,0.0,0.00029,0.0001,0.00029,0.0001
12,ARI,0.0,0.00023,0.00096,0.00023,0.00096
12,ATL,0.00106,0.01536,0.00042,0.0143,-0.00065
12,BAL,0.28435,0.42498,0.23529,0.14063,-0.04905
12,BUF,0.00532,0.00065,0.00899,-0.00467,0.00366
12,CAR,0.0,3e-05,0.0,3e-05,0.0
12,CHI,0.00213,0.00185,0.01427,-0.00027,0.01214
12,CIN,0.0,7e-05,0.0,7e-05,0.0
12,CLE,0.0,0.00134,5e-05,0.00134,5e-05
12,DAL,0.0,0.00028,1e-05,0.00028,1e-05
12,DET,0.0639,0.06049,0.14664,-0.00341,0.08274
12,GB,0.05112,0.00556,0.01122,-0.04556,-0.0399
12,HOU,0.0,0.00041,1e-05,0.00041,1e-05
12,IND,0.0,0.0003,1e-05,0.0003,1e-05
12,JAX,0.00319,0.0047,0.01423,0.00151,0.01104
12,KC,0.00106,0.00051,0.00926,-0.00055,0.00819
12,LA,0.00426,0.00211,0.00388,-0.00215,-0.00038
12,LV,0.03088,0.00468,0.01087,-0.0262,-0.02001
12,MIN,0.0,7e-05,0.0,7e-05,0.0
12,NE,0.00532,0.00243,0.02581,-0.00289,0.02049
12,NO,0.00532,0.00053,0.0053,-0.0048,-3e-05
12,NYG,0.0,2e-05,0.0,2e-05,0.0
12,NYJ,0.0,3e-05,0.00025,3e-05,0.00025
12,PHI,0.0,0.00521,0.00687,0.00521,0.00687
12,PIT,0.0,0.00125,0.0,0.00125,0.0
12,SEA,0.22471,0.15116,0.2631,-0.07355,0.03839
12,SF,0.31736,0.3157,0.24231,-0.00166,-0.07505
12,TB,0.0,3e-05,0.0,3e-05,0.0
12,TEN,0.0,2e-05,0.00025,2e-05,0.00025
13,BAL,0.29955,0.26868,0.20972,-0.03087,-0.08983
13,CHI,0.03118,0.00046,0.02821,-0.03072,-0.00297
13,CIN,0.01114,0.00024,0.01915,-0.0109,0.00802
13,DAL,0.00891,0.00957,0.03582,0.00066,0.02691
13,DET,0.01448,0.00944,0.09507,-0.00503,0.0806
13,GB,0.00334,0.00139,0.06562,-0.00195,0.06228
13,KC,0.08686,0.05485,0.14209,-0.03201,0.05523
13,PHI,0.54454,0.65536,0.4043,0.11082,-0.14024
